rule_id,entity_id,entity_origin,target_origin,compound_name,synonyms,compound_class,subclass,formula,exact_mass,ion_mode,adduct,reported_precursor_mz,reported_fragments,reported_neutral_losses,literature_status,derivation_id,evidence_ids,review_status,review_note
cmp_84a5f7337f9986,entity_84a5f7337f99863b,reported,reported,"monochloro-2,17-decarboxy-betanin 6a",,betalain,,,,,,,,,reported,,claim_bcdc6c228fc656c3,candidate,"The window mentions monochloro-2,17-decarboxy-betanin 6a as a chlorinated derivative."
cmp_4edae395b4203c,entity_4edae395b4203c5a,reported,reported,betanidin 5,,betalain,,,,,,,,,reported,,claim_341c9572b83604be,candidate,The window mentions betanidin 5 as a chlorination product with low stability.
cmp_d8c48cad1e6cb7,entity_d8c48cad1e6cb780,reported,reported,betanin 1,,betalain,,,,,,,,,reported,,claim_a348d9fd71b3df5f,candidate,The window refers to betanin 1 as a precursor for chlorination.
cmp_efe80b36aa4941,entity_efe80b36aa4941eb,reported,reported,17-decarboxy-betanin 2,,betalain,,,,,,,,,reported,,claim_3a055b35c9231033,candidate,The window mentions 17-decarboxy-betanin 2 as a precursor.
cmp_708bce734f2966,entity_708bce734f296636,reported,reported,"2,17-decarboxy-betanin 6",,betalain,,,,,,,,,reported,,claim_50d002e8261d7e85,candidate,"The window mentions 2,17-decarboxy-betanin 6 as a precursor."
cmp_3d908e0340f0d1,entity_3d908e0340f0d185,reported,reported,"15,17-bidecarboxy-betanin",,betalain,,C22H27N2O9,463.17165545520004,positive,[M+H]+,,"['m/z 301', 'm/z 257', 'm/z 255']",,reported,,claim_2b4e2c0303e7886d;chunk_367d9966abf7e591bd3f;claim_d1dcc0663e273f6e,candidate,"Compound 3 is identified as 15,17-bidecarboxy-betanin."
cmp_bb0400884db0bb,entity_bb0400884db0bb96,reported,reported,(Iso)betanin,,betalain,,C24H27N2O13+,551.15131393348,positive,[M+H]+,,"['150.0549', '343.0931', '389.0987', '390.1021', '391.1041', '551.1522']",,reported,,claim_f6ba0433a45b36a1;chunk_c83c76f5455641dc67db,candidate,"Compound listed in Table 3 with m/z 551.15130, formula C24H27N2O13+, and MS fragments."
cmp_a8b07afb39bf10,entity_a8b07afb39bf10fc,reported,reported,18-chloro-15-decarboxy-betanin,,betalain,,,,positive,[M+H]+,,"[379, 343, 333, 297, 253, 251, 150, 132]",,reported,,claim_b941909cf7ad9209,candidate,Compound 3a is identified as 18-chloro-15-decarboxy-betanin.
cmp_df401f885ccc84,entity_df401f885ccc8471,reported,reported,"2,17-bidecarboxy-betanin",,betalain,,,,,,,,,reported,,claim_d2e768c5bf03fbec;claim_31d993010bc95cb3,candidate,"The text refers to precursors 1, 2, and 6, which are betanin, 17-decarboxy-betanin, and 2,17-bidecarboxy-betanin."
cmp_6f473a3b9ed42d,entity_6f473a3b9ed42db7,reported,reported,Isobetanin,,betalain,,C24H26N2O13,550.14348890125,positive,[M+H]+,551.1508,477;389;253.09;194.04;166.05;178.05;176.07;150.05;138.05;132.04;106.6;343.09;299.1;297.08;281.09;269.09;255.08;522.15;521.14;519.16;518.15;517.15;516.14;515.13;514.12;513.11;511.16;509.14;508.13;507.16;506.15;505.15;504.14;503.13;501.15;500.14;499.13;498.13;497.12;495.1;493.15;491.17;490.16;489.15;488.14;487.13;486.13;485.12;483.14;481.15;479.13;478.12;477.15;476.14;475.13;473.16;472.15;471.14;470.13;469.12;465.15;463.13;462.13;461.12;460.11;459.14;458.13;457.12;447.14;445.12;443.11;429.13;427.11;425.1;419.11;417.09;389.1;388.09;387.08;386.07;382.11;375.12;373.1;372.1;371.09;370.08;369.07;368.1;366.12;364.1;361.1;360.1;359.12;358.11;357.11;356.1;355.09;354.08;353.08;352.1;351.06;349.1;347.09;345.11;344.1;343.13;342.09;341.09;340.1;339.1;338.09;337.08;335.09;331.09;330.12;329.11;328.1;327.1;326.09;325.09;324.08;323.08;322.09;320.08;319.09;317.08;316.07;315.1;314.09;313.09;312.11;311.1;310.09;307.08;306.07;303.1;301.08;300.07;299.07;298.06;297.1;296.09;294.1;288.11;287.1;286.09;285.1;284.08;283.07;282.06;281.08;280.07;279.09;273.1;271.08;270.07;268.09;267.06;265.08;264.07;263.07;262.06;255.09;254.08;253.08;252.06;251.07;250.08;249.05;247.07;245.06;237.09;235.07;233.06;231.04;223.07;222.06;220.06;211.07;209.06;208.05;207.08;205.06;196.06;195.05;193.04;192.03;191.05;182.08;181.05;180.04;179.03;177.04;176.03;167.07;166.09;165.05;164.05;163.04;147.04;146.04;145.05;135.04;134.04;130.04;124.04;123.04;119.05;111.04;110.06;109.03;108.02;107.05;106.04;255.11,,reported,,chunk_f82a0901b6c23600badc;chunk_5057b9cf26c3cd7dd9c5;chunk_5a93b1bf7c684ebe607a;chunk_48a59759c2e737bfde8f;chunk_a8c4f6b9d9c11bee7535,candidate,Structured compound record mined from local corpus text.
cmp_abe976d64d9cda,entity_abe976d64d9cdace,reported,reported,Vulgaxanthin I,,betalain,,C14H17N3O7,339.10664989819,positive,[M+H]+,,323;294;277,,reported,,chunk_f82a0901b6c23600badc,candidate,Structured compound record mined from local corpus text.
cmp_3931ac0ae66a84,entity_3931ac0ae66a84a2,reported,reported,Vulgaxanthin II,,betalain,,C14H16N2O8,340.0906654811,positive,[M+H]+,,327;302;279,,reported,,chunk_f82a0901b6c23600badc,candidate,Structured compound record mined from local corpus text.
cmp_6537836980c319,entity_6537836980c31978,reported,reported,Indicaxanthin,,betalain,,C14H16N2O6,308.10083624196,positive,[M+H]+,,,,reported,,chunk_f82a0901b6c23600badc,candidate,Structured compound record mined from local corpus text.
cmp_bb2b8a522a8db6,entity_bb2b8a522a8db6f1,reported,reported,Decarboxyneobetanin et al. (,,betalain,,C23H24N2O11,504.13800959765,positive,[M+H]+,,343;297,,reported,,chunk_f0a2d0db1aad93dc174a,candidate,Structured compound record mined from local corpus text.
cmp_5a264227eea012,entity_5a264227eea012c1,reported,reported,Decarboxybetanin,,betalain,,C23H26N2O11,506.15365966211,positive,[M+H]+,,370;194,,reported,,chunk_f0a2d0db1aad93dc174a,candidate,Structured compound record mined from local corpus text.
cmp_51cd907a028516,entity_51cd907a02851614,reported,reported,Asparagine bx (Vulgaxantin III),,betalain,,C13H16N3O7,326.09882486596,positive,[M+H]+,,,,reported,,chunk_8be1af21e1ec24a36735,candidate,Structured compound record mined from local corpus text.
cmp_7c11f0b81ae022,entity_7c11f0b81ae0226b,reported,reported,Serine bx,,betalain,,C12H15N2O7,299.0879258293,positive,[M+H]+,,,,reported,,chunk_179b53ac4d2fce945329,candidate,Structured compound record mined from local corpus text.
cmp_e5f5f3e2109a98,entity_e5f5f3e2109a9874,reported,reported,Glutamine bx (Vulgaxanthin I),,betalain,,C14H18N3O7,340.11447493042,positive,[M+H]+,,,,reported,,chunk_179b53ac4d2fce945329,candidate,Structured compound record mined from local corpus text.
cmp_bf257245e3c24b,entity_bf257245e3c24b07,reported,reported,"2,17-Bidecarboxy-2,3-Glutamic acid bx",,betalain,,C22H23N2O9,459.14035532628003,positive,[M+H]+,,,,reported,,chunk_179b53ac4d2fce945329,candidate,Structured compound record mined from local corpus text.
cmp_93f6337181483b,entity_93f6337181483b79,reported,reported,Glutamic acid bx (Vulgaxanthin II),,betalain,,C14H17N2O8,341.09849051333,positive,[M+H]+,,,,reported,,chunk_b95a21f686d977feb7af,candidate,Structured compound record mined from local corpus text.
cmp_31aa73bab41c7d,entity_31aa73bab41c7d77,reported,reported,γ-Aminobutyric acid bx,,betalain,,C13H17N2O6,297.10866127419,positive,[M+H]+,,,,reported,,chunk_b95a21f686d977feb7af,candidate,Structured compound record mined from local corpus text.
cmp_fd2bcf134a1c6b,entity_fd2bcf134a1c6bdc,reported,reported,Proline bx (Indicaxanthin),,betalain,,C14H17N2O6,309.10866127419,positive,[M+H]+,,,,reported,,chunk_b95a21f686d977feb7af,candidate,Structured compound record mined from local corpus text.
cmp_fbdd71954027b6,entity_fbdd71954027b678,reported,reported,Betanin /Isobetanin,,betalain,,C24H27N2O13,551.15131393348,positive,[M+H]+,,,,reported,,chunk_b95a21f686d977feb7af,candidate,Structured compound record mined from local corpus text.
cmp_c64b783656dd4a,entity_c64b783656dd4ab8,reported,reported,Dopamine bx (Miraxanthin V),,betalain,,C17H19N2O6,347.12431133865,positive,[M+H]+,,,,reported,,chunk_39c8a27e8a2c1bad5fa3,candidate,Structured compound record mined from local corpus text.
cmp_2b43c80ebf878c,entity_2b43c80ebf878cb2,reported,reported,Tyrosine bx (Portulacaxanthin II),,betalain,,C18H19N2O7,375.11922595822,positive,[M+H]+,,,,reported,,chunk_39c8a27e8a2c1bad5fa3,candidate,Structured compound record mined from local corpus text.
cmp_f1594d566fcee5,entity_f1594d566fcee521,reported,reported,"4,15-Dehydro- betanin (Neobetanin )",,betalain,,C24H25N2O13,549.13566386902,positive,[M+H]+,,,,reported,,chunk_39c8a27e8a2c1bad5fa3,candidate,Structured compound record mined from local corpus text.
cmp_d70212df70addd,entity_d70212df70adddd2,reported,reported,Valine bx,,betalain,,C14H18N2O6,310.11648630642003,positive,[M+H]+,,,,reported,,chunk_8485f6939f535ba3aa00,candidate,Structured compound record mined from local corpus text.
cmp_6594dcd756b6c8,entity_6594dcd756b6c83d,reported,reported,Leucine bx (Vulgaxanthin IV),,betalain,,C15H21N2O6,325.13996140311,positive,[M+H]+,,,,reported,,chunk_8485f6939f535ba3aa00,candidate,Structured compound record mined from local corpus text.
cmp_48ad36ed2b076a,entity_48ad36ed2b076ab7,reported,reported,Phenylalanine bx,,betalain,,C18H19N2O6,359.12431133865,positive,[M+H]+,,,,reported,,chunk_ac42342b59621972e55d,candidate,Structured compound record mined from local corpus text.
cmp_db242f35fe5d73,entity_db242f35fe5d7354,reported,reported,Tryptophan bx,,betalain,,C20H20N3O6,398.13521037531,positive,[M+H]+,,,,reported,,chunk_ac42342b59621972e55d,candidate,Structured compound record mined from local corpus text.
cmp_231c36f3d94f81,entity_231c36f3d94f8119,reported,reported,17-Decarboxy-betanin,,betalain,,C23H26N2O11,506.15365966211,positive,[M+H]+,507.1609,55;345.1;299.1;297.08;281.09;255.11;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06;478.16;477.15;475.17;474.16;473.16;472.15;471.14;470.13;469.12;467.17;465.15;464.14;463.17;462.16;461.16;460.15;459.14;457.16;456.15;455.14;454.14;453.13;451.11;449.16;447.18;446.17;445.16;444.15;443.14;442.14;441.13;439.15;437.16;435.14;434.13;433.16;432.15;431.14;429.17;428.16;427.15;426.14;425.13;421.16;419.14;418.14;417.13;416.12;415.15;414.14;413.13;403.15;401.13;399.12;385.14;383.12;382.11;381.11;375.12;373.1;369.11;368.1;366.12;364.1;358.11;357.11;356.1;355.09;352.1;351.09;345.11;344.1;343.09;342.09;341.09;340.1;339.09;338.09;337.08;331.13;330.12;329.11;328.11;327.1;326.09;325.09;324.08;323.08;322.09;320.08;317.11;316.11;315.13;313.12;312.11;311.1;310.09;309.09;307.08;306.07;305.11;303.1;301.12;300.11;299.14;298.09;297.12;296.09;295.11;294.1;293.09;291.1;288.11;287.1;286.09;285.1;283.11;282.1;280.09;279.09;275.1;273.1;272.08;271.08;270.07;269.09;268.09;267.09;259.11;257.09;256.08;255.09;254.08;253.07;252.06;250.08;249.08;243.11;241.1;240.09;239.08;238.07;237.09;236.08;235.06;227.12;225.1;223.07;221.09;220.08;219.08;218.07;209.09;207.08;205.06;203.08;201.07;196.06;195.05;193.1;192.03;191.08;189.07;187.05;182.08;181.05;180.04;179.08;177.04;167.08;166.09;165.05;164.05;163.09;161.07;152.07;151.09;149.07;147.04;146.04;145.05;136.08;135.04;134.04;130.04;124.04;123.04;119.05;111.04;110.06;109.03;108.02;107.05;106.04,,reported,,chunk_ac42342b59621972e55d;chunk_6fd34ce473bbe06c7d2c;chunk_88375951a81847cfbe7f;chunk_0769deaa4319c5bcedab,candidate,Structured compound record mined from local corpus text.
cmp_f646a50441d14a,entity_f646a50441d14a86,reported,reported,2-Decarboxy-neobetanin,,betalain,,C23H24N2O11,504.13800959765,positive,[M+H]+,505.1453,343.09;299.1;297.08;281.09;269.09;255.08;253.09;194.04;178.05;176.07;150.05;138.05;132.04;106.06;485.12;479.13;477.11;476.11;474.13;473.12;472.15;471.14;470.13;469.12;468.12;467.11;461.12;460.11;459.1;458.1;457.12;456.12;455.11;454.14;453.13;452.12;451.11;450.11;447.14;444.15;443.11;442.14;441.09;438.11;437.1;435.14;434.11;433.12;432.12;431.11;430.14;429.13;426.14;425.1;424.13;423.08;417.17;416.16;415.15;413.1;408.13;407.12;399.16;398.15;397.14;373.1;371.09;355.09;354.08;342.08;341.08;340.07;329.11;328.11;327.1;326.09;325.08;324.07;323.1;317.08;315.06;314.05;313.08;312.11;311.1;310.09;307.11;306.1;303.1;301.08;299.07;298.06;297.1;296.11;294.1;293.09;285.1;283.07;282.06;281.1;280.08;279.09;278.1;276.09;275.08;273.1;271.08;270.07;268.09;267.09;261.08;258.08;257.07;255.09;254.08;253.07;252.06;251.08;250.08;249.08;237.08;235.07;234.06;233.06;221.06;220.05;209.06;208.05;207.04;206.03;204.05;193.04;192.05;180.03;177.07;176.06;175.05;165.05;163.06;162.05;161.04;160.06;149.05;148.04;147.07;145.05;143.03;136.08;135.04;134.06;133.05;127.04;123.04;121.06;120.08;119.05;118.07;111.04;109.03;108.02;107.05;106.04;103.05;101.02,,reported,,chunk_ac42342b59621972e55d;chunk_16526064ef1607e694e6;chunk_ec44366c20a12d85ebb2,candidate,Structured compound record mined from local corpus text.
cmp_aa54d431f60f1b,entity_aa54d431f60f1b89,reported,reported,(Iso)Amaranthin,,betalain,,C30H35N2O19,727.1834019087399,,,,,,reported,,chunk_58ebf6f0ecf2499feb48,candidate,Structured compound record mined from local corpus text.
cmp_63adb2c420084c,entity_63adb2c420084c3c,reported,reported,17-Decarboxy-(iso)amaranthin,,betalain,,C29H35N2O17,683.1935726696,,,,,,reported,,chunk_c83c76f5455641dc67db,candidate,Structured compound record mined from local corpus text.
cmp_046c9b05ef7a56,entity_046c9b05ef7a5636,reported,reported,"(2, 15 or 17)-Decarboxy-(iso)betanin",,betalain,,C23H27N2O11,507.16148469434,,,,,,reported,,chunk_5d4d6c48c5e038a5ce89,candidate,Structured compound record mined from local corpus text.
cmp_a8cf5847d7ceca,entity_a8cf5847d7ceca1f,reported,reported,"(2, 15 or 17)-Decarboxy(iso)",,betalain,,C23H27N2O11,507.16148469434,,,,,,reported,,chunk_4a3eebe3025351d8e634,candidate,Structured compound record mined from local corpus text.
cmp_33c50577fe5083,entity_33c50577fe50831b,reported,reported,"(2, 15 or 17)-Decarboxy-(iso)",,betalain,,C17H17N2O6,345.10866127419,,,,,,reported,,chunk_4a3eebe3025351d8e634,candidate,Structured compound record mined from local corpus text.
cmp_3d3bb75184db27,entity_3d3bb75184db2730,reported,reported,Amaranthin,,betalain,,C30H34N2O19,726.1755768765099,,,727.1829,698.18;697.17;695.19;694.19;693.18;692.17;691.16;690.15;689.15;687.19;685.17;683.19;682.19;681.18;680.17;679.16;677.18;676.17;675.17;674.16;673.15;671.14;669.18;667.2;665.18;664.17;663.17;662.16;661.15;659.17;657.18;655.16;654.15;653.18;652.17;651.17;649.19;648.18;647.17;646.16;645.16;641.18;639.17;638.16;637.15;636.14;635.17;634.16;633.16;625.19;623.17;621.16;619.14;607.18;605.16;603.15;601.13;558.15;551.15;550.14;549.14;545.14;535.16;534.15;533.14;532.13;531.12;523.16;522.15;521.14;519.16;518.13;517.15;516.13;515.13;514.12;513.11;511.16;509.14;507.16;505.15;504.14;503.13;502.13;501.12;500.12;499.13;498.13;497.12;495.1;493.15;491.13;489.15;488.14;487.13;486.12;485.13;484.12;483.11;482.11;481.15;479.13;478.12;477.15;476.14;475.13;473.13;472.12;471.14;470.13;469.12;465.15;463.13;462.12;461.13;460.11;459.14;458.13;457.13;456.13;455.12;449.13;447.11;446.11;445.13;444.13;443.12;433.13;431.12;430.11;429.1;428.09;427.12;426.12;425.11;415.12;413.11;411.09;389.1;388.09;387.08;386.07;375.12;373.1;372.1;371.09;370.08;369.07;361.1;360.1;359.12;358.11;357.11;356.1;355.09;354.08;353.08;351.06;349.1;347.09;345.11;343.13;342.09;341.11;340.1;339.1;338.09;337.08;335.09;331.09;329.11;327.1;326.09;325.09;324.08;323.08;319.09;317.08;316.07;315.1;314.09;313.08;307.08;306.07;303.1;301.08;300.07;299.07;298.06;297.1;287.1;285.1;284.08;283.07;282.06;281.08;280.07;279.09;273.1;271.08;270.07;269.09;268.09;267.06;265.08;264.07;263.07;262.06;255.09;253.08;252.06;251.07;250.08;249.05;247.07;245.06;237.09;235.07;233.06;231.04;223.07;211.07;207.08;205.06;196.06;194.04;193.04;182.08;180.04;179.03;178.05;177.04;165.05;164.05;163.04;147.04;146.04;135.04;134.04;130.04;123.04;119.05;111.04;109.03;108.02;107.05;106.04,,reported,,chunk_0183c95265773c499897;chunk_764c9d20c36c8eb636d3,candidate,Structured compound record mined from local corpus text.
cmp_64818f42fdf603,entity_64818f42fdf603ee,reported,reported,Betalamic acid,,betalain,,C9H9NO5,211.04807239235,positive,[M+H]+,212.0553,194.04;166.05;148.04;138.05;120.04;106.03;389.09;345.1;343.09;299.1;297.08;281.09;269.09;255.11,,reported,,chunk_0183c95265773c499897;chunk_08bc69e91bb6ef88479b;chunk_6309dedd94a62644476a,candidate,Structured compound record mined from local corpus text.
cmp_d6d605b7b67fdc,entity_d6d605b7b67fdca0,reported,reported,Isoamaranhthin,,betalain,,C30H35N2O19,727.1834019087399,,,,,,reported,,chunk_5057b9cf26c3cd7dd9c5,candidate,Structured compound record mined from local corpus text.
cmp_92bb34d8a53417,entity_92bb34d8a5341708,reported,reported,Decarboxy-dehydro-(iso)amaranthin,,betalain,,C29H33N2O17,681.17792260514,,,,,,reported,,chunk_82b6b4fff489f1c1a7f7,candidate,Structured compound record mined from local corpus text.
cmp_4d75908e326880,entity_4d75908e326880fb,reported,reported,(2 or 17)-Decarboxy(iso)-betanin,,betalain,,C23H27N2O11,507.16148469434,,,,,,reported,,chunk_5ca73587e685dd23c207,candidate,Structured compound record mined from local corpus text.
cmp_3ab42a50461ec0,entity_3ab42a50461ec02d,reported,reported,(2 or 17)-Decarboxy-neobetanin,,betalain,,C23H25N2O11,505.14583462988,,,,,,reported,,chunk_5ca73587e685dd23c207,candidate,Structured compound record mined from local corpus text.
cmp_b4dea8e602bde8,entity_b4dea8e602bde831,reported,reported,6′ -O-Feruloyl-betanin,,betalain,,C34H35N2O16,727.19865805003,,,,,,reported,,chunk_7b3c30e8ee66e2cf9e9e,candidate,Structured compound record mined from local corpus text.
cmp_27d99887934eea,entity_27d99887934eeabc,reported,reported,nl: -Glc,,betalain,,C16H17N2O4,301.11883203505,positive,[M+H]+,,257;255;164;162;150;132;212;200;176;253;251;331;297;295;287;379;343;333,,reported,,chunk_6728239b8e00bff5424c;chunk_6d000622e583807e58e7;chunk_afbdef08147047c8f727;chunk_c7f6416d93feb3a50d18,candidate,Structured compound record mined from local corpus text.
