rule_id,compound_class,subclass,source_entity,target_entity,source_entity_id,target_entity_id,transformation_name,evidence_type,template_support_level,candidate_policy,propagation_policy,reaction_arity,reactant_entities,product_entities,anchor_reactant_index,network_anchor_role,resolved_network_anchor_count,anchor_resolution_stage,reaction_type,reaction_operator,formula_equation,reactant_form_ids,product_form_ids,fragment_evidence_contract,calculated_delta_mass,chemical_validation_status,product_resolution_status,derivation_id,delta_mass,direction,repeatable,max_repeat,required_context,evidence_ids,review_status,review_note
tr_a7dc690984b254,ginsenoside,,Malonyl NG-R4,Malonyl-ginsenosid e Rb3,entity_95f7cadbc3af85ef,entity_b84a691072c9c3c4,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_95f7cadbc3af85ef"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_b84a691072c9c3c4"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C62H102O30 -> C56H92O25,"[""form_7f5a8b111338daf8""]","[""form_20c5c3f6fe0bc45c""]",{},-162.052823,valid,unique_reported_entity,derivation_223f2d1700e492,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_2f6f8a757f20e58b3e80;chunk_3082f555030cfe0b794f;chunk_ddbc558f38b12054945a,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_d0efb9c9eb6e5d,ginsenoside,,G-Re2,G-Rf,entity_a5d5bef04f6534de,entity_fc7578bb143494c5,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_a5d5bef04f6534de"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_fc7578bb143494c5"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C48H82O19 -> C42H72O14,"[""form_1257a0f8cf0ddf8a""]","[""form_3892af7899663cbb""]",{},-162.052823,valid,unique_reported_entity,derivation_3bf02b70ac81df,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283;chunk_1c1e6578ab8c9a02d5a4;chunk_3be07d61de6906fe57fe;chunk_830bcd489bd464af970b;chunk_882470a12bfb0084bea7,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_2f4f9803c90103,ginsenoside,,Q-R1,G-Rb1,entity_a123d095eb2b78c4,entity_8a8de1145f59f199,loss of reported ac component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_a123d095eb2b78c4"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_8a8de1145f59f199"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_ac_component,C56H94O24 -> C54H92O23,"[""form_ac51f75a7d1353b4""]","[""form_f255d9982516474c""]",{},-42.010565,valid,unique_reported_entity,derivation_7ba1c2d956e6f7,-42.010565,source_to_target,FALSE,1,real resolved network anchor,chunk_a8a31155a0b2bb6655b5;chunk_1c1e6578ab8c9a02d5a4;chunk_39550165b91703d596a2;chunk_784ca4f837c7a19c3aad;chunk_a1805dae0ab969b92d9b;chunk_b30b2c401321bfd9dbf3;chunk_c8e9107bce1afd08ab84,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_eb67914cd33531,ginsenoside,,20-gluco-ginsenoside,Ginsenoside Rg1,entity_9427c164145f6329,entity_d96110b1470152a6,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_9427c164145f6329"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_d96110b1470152a6"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C48H82O19 -> C42H72O14,"[""form_ebb02692f6bece6f""]","[""form_7e15527b576a6354""]",{},-162.052823,valid,unique_reported_entity,derivation_38b28e5f281058,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_f60b823c783be0,ginsenoside,,G-Re1,Ginsenoside Rg1,entity_b8ed38e87c37b24f,entity_d96110b1470152a6,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_b8ed38e87c37b24f"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_d96110b1470152a6"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C48H82O19 -> C42H72O14,"[""form_f27de16efb5164e9""]","[""form_7e15527b576a6354""]",{},-162.052823,valid,unique_reported_entity,derivation_88675986bd01c7,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283;chunk_17559ab5861cab223c30;chunk_1c1e6578ab8c9a02d5a4;chunk_882470a12bfb0084bea7;chunk_ce301891eaa5f1eecc48,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_db7650088ba5f5,ginsenoside,,koryoginsenoside,NG-N,entity_ad12e53dcb453643,entity_a6832f070a739024,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_ad12e53dcb453643"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_a6832f070a739024"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C54H92O24 -> C48H82O19,"[""form_fb90cd582faea142""]","[""form_0f642e553e5dd867""]",{},-162.052823,valid,unique_reported_entity,derivation_c48007668a390a,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283;chunk_1c1e6578ab8c9a02d5a4,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_7b41d877d1672f,ginsenoside,,G-Rs2,G-Rb2/G-Rb3/G-Rc,entity_2782aa795f2975f1,entity_3aad3305041f63e9,loss of reported ac component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_2782aa795f2975f1"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_3aad3305041f63e9"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_ac_component,C55H92O23 -> C53H90O22,"[""form_d5d3812ffe8c5f7b""]","[""form_f54bf7ca8bf4d9b1""]",{},-42.010565,valid,unique_reported_entity,derivation_b41d2592c0f31d,-42.010565,source_to_target,FALSE,1,real resolved network anchor,chunk_a8a31155a0b2bb6655b5;chunk_1c1e6578ab8c9a02d5a4;chunk_2c82b7e414372849f471;chunk_422e82f9c16efd5c8866;chunk_784ca4f837c7a19c3aad;chunk_882470a12bfb0084bea7,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_8fcb32751b8b3f,ginsenoside,,G-Re1,ginsenoside Rf,entity_b8ed38e87c37b24f,entity_aa500cbc70ff655a,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_b8ed38e87c37b24f"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_aa500cbc70ff655a"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C48H82O19 -> C42H72O14,"[""form_f27de16efb5164e9""]","[""form_27b1c936bea52cc8""]",{},-162.052823,valid,unique_reported_entity,derivation_6178205bde558a,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283;chunk_17559ab5861cab223c30;chunk_1c1e6578ab8c9a02d5a4;chunk_882470a12bfb0084bea7;chunk_ce301891eaa5f1eecc48,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_d493173d9b157b,ginsenoside,,G-Re3,G-Rf,entity_1cda1359c9338194,entity_fc7578bb143494c5,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_1cda1359c9338194"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_fc7578bb143494c5"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C48H82O19 -> C42H72O14,"[""form_6722dbee8c924ec7""]","[""form_3892af7899663cbb""]",{},-162.052823,valid,unique_reported_entity,derivation_fce43a58a00f44,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283;chunk_1c1e6578ab8c9a02d5a4;chunk_882470a12bfb0084bea7;chunk_acc6e934be5d2cae972b;chunk_b9378f3b91b1ce003c5a,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_67817b3be8548b,ginsenoside,,koryoginsenoside,20-glu-G-Rf,entity_ad12e53dcb453643,entity_8be63c29ef8b44ca,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_ad12e53dcb453643"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_8be63c29ef8b44ca"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C54H92O24 -> C48H82O19,"[""form_fb90cd582faea142""]","[""form_81ff0e1e7859804e""]",{},-162.052823,valid,unique_reported_entity,derivation_ddb681fec671e8,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_1c1e6578ab8c9a02d5a4;chunk_4d4bb0ef118d03837386;chunk_882470a12bfb0084bea7,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_bbf751712c2641,ginsenoside,,Ginsenoside Rb3,G-Rd,entity_51ddcb86ca8d9896,entity_3c1dfb232de48c72,loss of reported xyl component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_51ddcb86ca8d9896"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_3c1dfb232de48c72"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_xyl_component,C53H90O22 -> C48H82O18,"[""form_d296c75372b86da0""]","[""form_67c0aea2428db18b""]",{},-132.042259,valid,unique_reported_entity,derivation_c694f0e6071a32,-132.042259,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_784ca4f837c7a19c3aad,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_d1e96253055f8d,ginsenoside,,PPT-C17-V1/V2-Glc-Glc-Xyl/Ara,noto-T5 isomer,entity_e3bdebdc7e7949b6,entity_2da943f01efac484,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_e3bdebdc7e7949b6"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_2da943f01efac484"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C47H78O17 -> C41H68O12,"[""form_639943c2d2c26a1a""]","[""form_9943d2739f73f8fd""]",{},-162.052823,valid,unique_reported_entity,derivation_9aa27f9dd1b9e7,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_61d5b07d3c76866a378e;chunk_88e8e2b26c7dc04926aa;chunk_c978f98109b764eb4405;chunk_cd666b06466a5a2b5984,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_b5e5e5e54713c3,ginsenoside,,NG-R1,notoginsenoside R2,entity_1ee60b1343a52861,entity_9a56f24d40f60377,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_1ee60b1343a52861"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_9a56f24d40f60377"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C47H80O18 -> C41H70O13,"[""form_dc88233ef5b85141""]","[""form_9cd8e06e3537bc21""]",{},-162.052823,valid,unique_reported_entity,derivation_e7ef6d63932822,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283;chunk_350cbe9d67e78502c37e,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_ecf09e3f7b3f07,ginsenoside,,ginsenoside Re4,ginsenoside Rf,entity_6a4dd182e0ce4718,entity_aa500cbc70ff655a,loss of reported ara(f) component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_6a4dd182e0ce4718"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_aa500cbc70ff655a"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_ara_f_component,C47H80O18 -> C42H72O14,"[""form_2142377cb9d1d762""]","[""form_27b1c936bea52cc8""]",{},-132.042259,valid,unique_reported_entity,derivation_2e61c495f71da3,-132.042259,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_882470a12bfb0084bea7,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_9a7266f39d7c51,ginsenoside,,NG-R4,G-Rb3,entity_b7683986ae2a4f6b,entity_38d79c2f72ee3833,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_b7683986ae2a4f6b"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_38d79c2f72ee3833"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C59H100O27 -> C53H90O22,"[""form_017ab62cd2dd3acb""]","[""form_bc23e7afc30d5b9d""]",{},-162.052823,valid,unique_reported_entity,derivation_09b7fc596faa34,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_3b867ed59739d5a22268;chunk_56a9ba062b7ea0fc54cf;chunk_784ca4f837c7a19c3aad;chunk_9331c6d9d26aff836f3d;chunk_d3acabfeb9313aceb0ea;chunk_fc56392a85f26eec157f,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_444bf8e1748b5e,ginsenoside,,NG-R4,Ginsenoside Rb3,entity_b7683986ae2a4f6b,entity_51ddcb86ca8d9896,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_b7683986ae2a4f6b"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_51ddcb86ca8d9896"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C59H100O27 -> C53H90O22,"[""form_017ab62cd2dd3acb""]","[""form_d296c75372b86da0""]",{},-162.052823,valid,unique_reported_entity,derivation_d28d52af0d6e6f,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_3b867ed59739d5a22268;chunk_56a9ba062b7ea0fc54cf;chunk_784ca4f837c7a19c3aad;chunk_9331c6d9d26aff836f3d;chunk_d3acabfeb9313aceb0ea;chunk_fc56392a85f26eec157f,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_363da6d20ea195,ginsenoside,,Ginsenoside Rb3,Ginsenoside Rd,entity_51ddcb86ca8d9896,entity_6cf53cd8e18ecbba,loss of reported xyl component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_51ddcb86ca8d9896"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_6cf53cd8e18ecbba"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_xyl_component,C53H90O22 -> C48H82O18,"[""form_d296c75372b86da0""]","[""form_301a8c7f3bc70122""]",{},-132.042259,valid,unique_reported_entity,derivation_0e8b089acacbe2,-132.042259,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_784ca4f837c7a19c3aad,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_2c66d2a5e45ed0,ginsenoside,,Ginsenoside Rg1,G-Rh1,entity_d96110b1470152a6,entity_785007943bc3cf09,loss of reported glc component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_d96110b1470152a6"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_785007943bc3cf09"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_glc_component,C42H72O14 -> C36H62O9,"[""form_7e15527b576a6354""]","[""form_725ff54cb6e1c03e""]",{},-162.052823,valid,unique_reported_entity,derivation_203dd5d0cd2a6c,-162.052823,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_8faaa0862fbbaa,ginsenoside,,G-Ra2,G-Rb3,entity_bbd09d34df0fc1f1,entity_38d79c2f72ee3833,loss of reported ara(f) component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_bbd09d34df0fc1f1"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_38d79c2f72ee3833"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_ara_f_component,C58H98O26 -> C53H90O22,"[""form_9e0989db1043a7f6""]","[""form_bc23e7afc30d5b9d""]",{},-132.042259,valid,unique_reported_entity,derivation_ddc625980f5a15,-132.042259,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_784ca4f837c7a19c3aad,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
tr_2e28731af415e8,ginsenoside,,G-Rg2,ginsenoside Rh1,entity_b028c328a2c35c86,entity_62384753ece5380a,loss of reported rha component,literature_inferred,,,,1,"[{""coefficient"":1,""entity_id"":""entity_b028c328a2c35c86"",""role"":""substrate""}]","[{""coefficient"":1,""entity_id"":""entity_62384753ece5380a"",""role"":""product""}]",0,substrate,0,network_preflight,unary_literature_transformation,loss_of_reported_rha_component,C42H72O13 -> C36H62O9,"[""form_d1230e2f1b1cd4c4""]","[""form_1c95210068583a55""]",{},-146.057909,valid,unique_reported_entity,derivation_1cb1662c25944a,-146.057909,source_to_target,FALSE,1,real resolved network anchor,chunk_adad5f853e121b5f435a;chunk_15955d34e68303239283,candidate,Independent loss-mechanism evidence joined to co-reported entity component profiles with an exact formula balance.
